06 01 0.522
06 02 0.748
06 03 0.993
06 04 1.226
06 05 1.501
06 06 1.762
06 07 1.999
06 08 2.282
06 09 2.537
06 10 2.785
06 11 3.156
06 12 3.380
06 13 3.714
06 14 4.033
06 15 4.467
06 16 4.767
06 17 4.964
06 01 0.750
06 02 0.746
06 03 0.985
06 04 1.213
06 05 1.467
06 06 1.753
06 07 1.995
06 08 2.254
06 09 2.529
06 10 2.789
06 11 3.147
06 12 3.365
06 13 3.676
06 14 3.985
06 15 4.424
06 16 4.780
06 17 4.981
06 18 5.142
06 19 5.603
06 20 6.407
06 21 6.582
06 22 6.750
06 23 7.633
06 24 7.604
06 25 8.515
06 26 8.517
06 27 8.987
06 28 9.745
06 29 10.878
06 30 10.768
